date_rep,day,month,year,cases,deaths,geo_id
03/01/2022,03,01,2022,17864,50,AF
03/01/2022,03,01,2022,736,7,AL
03/01/2022,03,01,2022,31001,98,DZ
03/01/2022,03,01,2022,2102,44,AS
03/01/2022,03,01,2022,4866,31,AD
03/01/2022,03,01,2022,2559,57,AO
03/01/2022,03,01,2022,39527,70,AI
03/01/2022,03,01,2022,34772,40,AQ
03/01/2022,03,01,2022,40378,38,AG
03/01/2022,03,01,2022,8569,72,AR
03/01/2022,03,01,2022,38962,99,AM
03/01/2022,03,01,2022,36471,48,AW
03/01/2022,03,01,2022,41256,29,AU
03/01/2022,03,01,2022,32081,10,AT
03/01/2022,03,01,2022,44519,2,AZ
03/01/2022,03,01,2022,80244,61,BS
03/01/2022,03,01,2022,83196,84,BH
03/01/2022,03,01,2022,77018,23,BD
03/01/2022,03,01,2022,74414,61,BB
03/01/2022,03,01,2022,62606,21,BY
03/01/2022,03,01,2022,51508,39,BE
03/01/2022,03,01,2022,23571,32,BZ
03/01/2022,03,01,2022,41866,70,BJ
03/01/2022,03,01,2022,70898,68,BM
03/01/2022,03,01,2022,5304,7,BT
03/01/2022,03,01,2022,41046,6,BO
03/01/2022,03,01,2022,37190,75,BA
03/01/2022,03,01,2022,83795,51,BW
03/01/2022,03,01,2022,54655,29,BV
03/01/2022,03,01,2022,25496,43,BR
03/01/2022,03,01,2022,7629,25,IO
03/01/2022,03,01,2022,75016,0,BN
03/01/2022,03,01,2022,56129,56,BN
03/01/2022,03,01,2022,48073,90,BG
03/01/2022,03,01,2022,21660,44,BF
03/01/2022,03,01,2022,9526,12,BI
03/01/2022,03,01,2022,57197,38,KH
03/01/2022,03,01,2022,63890,82,CM
03/01/2022,03,01,2022,44155,100,CA
03/01/2022,03,01,2022,71043,53,CV
03/01/2022,03,01,2022,12262,58,KY
03/01/2022,03,01,2022,16991,96,CF
03/01/2022,03,01,2022,57254,22,TD
03/01/2022,03,01,2022,10916,49,CL
03/01/2022,03,01,2022,34113,26,CN
03/01/2022,03,01,2022,99189,84,CX
03/01/2022,03,01,2022,71388,84,CC
03/01/2022,03,01,2022,53753,100,CO
03/01/2022,03,01,2022,72923,59,KM
03/01/2022,03,01,2022,47226,23,CG
03/01/2022,03,01,2022,54332,50,CD
03/01/2022,03,01,2022,50859,19,CK
03/01/2022,03,01,2022,24945,18,CR
03/01/2022,03,01,2022,34340,90,CI
03/01/2022,03,01,2022,91732,54,CI
03/01/2022,03,01,2022,59330,35,HR
03/01/2022,03,01,2022,51995,15,CU
03/01/2022,03,01,2022,66824,16,CY
03/01/2022,03,01,2022,39485,30,CZ
03/01/2022,03,01,2022,82165,10,DK
03/01/2022,03,01,2022,25888,55,DJ
03/01/2022,03,01,2022,38817,46,DM
03/01/2022,03,01,2022,484,37,DO
03/01/2022,03,01,2022,97279,50,EC
03/01/2022,03,01,2022,85430,100,EG
03/01/2022,03,01,2022,9987,61,SV
03/01/2022,03,01,2022,9385,80,GQ
03/01/2022,03,01,2022,40775,56,ER
03/01/2022,03,01,2022,69970,81,EE
03/01/2022,03,01,2022,91509,16,ET
03/01/2022,03,01,2022,68123,93,FK
03/01/2022,03,01,2022,73085,63,FO
03/01/2022,03,01,2022,45508,79,FJ
03/01/2022,03,01,2022,60275,0,FI
03/01/2022,03,01,2022,16001,69,FR
03/01/2022,03,01,2022,24150,78,GF
03/01/2022,03,01,2022,17694,36,PF
03/01/2022,03,01,2022,2375,67,TF
03/01/2022,03,01,2022,87025,55,GA
03/01/2022,03,01,2022,78803,67,GM
03/01/2022,03,01,2022,1558,53,GE
03/01/2022,03,01,2022,40821,28,DE
03/01/2022,03,01,2022,37525,36,GH
03/01/2022,03,01,2022,67124,60,GI
03/01/2022,03,01,2022,99677,34,GR
03/01/2022,03,01,2022,68910,94,GL
03/01/2022,03,01,2022,22518,95,GD
03/01/2022,03,01,2022,93918,55,GP
03/01/2022,03,01,2022,40552,87,GU
03/01/2022,03,01,2022,68474,100,GT
03/01/2022,03,01,2022,17434,0,GG
03/01/2022,03,01,2022,34999,7,GN
03/01/2022,03,01,2022,10021,21,GW
03/01/2022,03,01,2022,24174,69,GY
03/01/2022,03,01,2022,55984,80,HT
03/01/2022,03,01,2022,45313,99,HM
03/01/2022,03,01,2022,86656,97,VA
03/01/2022,03,01,2022,66737,24,HN
03/01/2022,03,01,2022,31591,31,HK
03/01/2022,03,01,2022,24752,33,HU
03/01/2022,03,01,2022,65482,5,IS
03/01/2022,03,01,2022,32023,23,IN
03/01/2022,03,01,2022,26325,17,ID
03/01/2022,03,01,2022,27153,33,IR
03/01/2022,03,01,2022,49477,35,IQ
03/01/2022,03,01,2022,71426,9,IE
03/01/2022,03,01,2022,92237,61,IM
03/01/2022,03,01,2022,43547,35,IL
03/01/2022,03,01,2022,87736,31,IT
03/01/2022,03,01,2022,78920,4,JM
03/01/2022,03,01,2022,52974,8,JP
03/01/2022,03,01,2022,82738,88,JE
03/01/2022,03,01,2022,76464,34,JO
03/01/2022,03,01,2022,26099,45,KZ
03/01/2022,03,01,2022,32868,59,KE
03/01/2022,03,01,2022,54400,49,KI
03/01/2022,03,01,2022,49797,100,KP
03/01/2022,03,01,2022,30752,13,KR
03/01/2022,03,01,2022,6234,48,KR
03/01/2022,03,01,2022,3446,11,KW
03/01/2022,03,01,2022,50819,15,KG
03/01/2022,03,01,2022,1915,67,LA
03/01/2022,03,01,2022,41992,76,LV
03/01/2022,03,01,2022,2195,35,LB
03/01/2022,03,01,2022,34388,8,LS
03/01/2022,03,01,2022,99272,44,LR
03/01/2022,03,01,2022,92571,47,LY
03/01/2022,03,01,2022,45860,26,LY
03/01/2022,03,01,2022,54046,51,LI
03/01/2022,03,01,2022,22046,77,LT
03/01/2022,03,01,2022,25966,68,LU
03/01/2022,03,01,2022,52500,76,MO
03/01/2022,03,01,2022,8733,73,MK
03/01/2022,03,01,2022,84070,27,MG
03/01/2022,03,01,2022,27260,66,MW
03/01/2022,03,01,2022,37618,100,MY
03/01/2022,03,01,2022,3735,79,MV
